memKB,mask,topK,n_groups,ARE
50,/16,all,20,0.223088
50,/16,all,20,0.223088
50,/16,all,20,0.223088
50,/16,all,20,0.223088
50,/20,300,300,0.766014
50,/20,all,313,0.811519
50,/20,all,313,0.811519
50,/20,all,313,0.811519
50,/24,300,300,0.536219
50,/24,1000,1000,1.08398
50,/24,3000,3000,1.55915
50,/24,all,3836,1.66813
50,/28,300,300,0.499564
50,/28,1000,1000,0.928422
50,/28,3000,3000,1.32872
50,/28,all,13567,1.75123
100,/16,all,20,0.106284
100,/16,all,20,0.106284
100,/16,all,20,0.106284
100,/16,all,20,0.106284
100,/20,300,300,0.499079
100,/20,all,313,0.519984
100,/20,all,313,0.519984
100,/20,all,313,0.519984
100,/24,300,300,0.362318
100,/24,1000,1000,0.779056
100,/24,3000,3000,1.32785
100,/24,all,3836,1.4858
100,/28,300,300,0.316863
100,/28,1000,1000,0.623343
100,/28,3000,3000,1.09236
100,/28,all,13567,1.64694
150,/16,all,20,0.136924
150,/16,all,20,0.136924
150,/16,all,20,0.136924
150,/16,all,20,0.136924
150,/20,300,300,0.42002
150,/20,all,313,0.439229
150,/20,all,313,0.439229
150,/20,all,313,0.439229
150,/24,300,300,0.300901
150,/24,1000,1000,0.652878
150,/24,3000,3000,1.18161
150,/24,all,3836,1.33794
150,/28,300,300,0.293238
150,/28,1000,1000,0.516555
150,/28,3000,3000,0.927775
150,/28,all,13567,1.50383
200,/16,all,20,0.124317
200,/16,all,20,0.124317
200,/16,all,20,0.124317
200,/16,all,20,0.124317
200,/20,300,300,0.377533
200,/20,all,313,0.391769
200,/20,all,313,0.391769
200,/20,all,313,0.391769
200,/24,300,300,0.246829
200,/24,1000,1000,0.533091
200,/24,3000,3000,1.02701
200,/24,all,3836,1.14873
200,/28,300,300,0.213212
200,/28,1000,1000,0.425167
200,/28,3000,3000,0.78859
200,/28,all,13567,1.40214
